Key,English,Filipino
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Pabrika ng Erons II
PATROL_DESTINATION_000003,Iblis Temple,Templo ni Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Mga Tulisan ng Kabundukan ng Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Base Camp ng mga Tulisan
PATROL_DESTINATION_000006,Mars Dungeon,Piitan ng Mars
PATROL_DESTINATION_000007,Altar of Violet,Altar ng Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Kalaliman ng Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Lungga ng Okean
PATROL_DESTINATION_000010,Date Location,Lugar ng Pag-date
PATROL_DESTINATION_000011,Strange Entrance,Kakaibang Pasukan
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,Ang Nawawalang Kayamanan ni Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Gubat ng Kaillun
PATROL_DESTINATION_000014,Ankou Asylum,Asylum ni Ankou
