Key,English,German
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Um die Kameraansicht zu ändern, halte die rechte Maustaste gedrückt und bewege dann die Maus."
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Mit der Leertaste springt dein Charakter. Außerdem fliegst du los oder hälst an, wenn du dich auf einem Fluggerät befindest."
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Fliegen kannst du unabhängig von deiner Klasse ab Level 20. Fluggeräte kannst du bei einem [Station] NPC in jeder Stadt erwerben.
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.",Fliegen ist ab Level 20 möglich. Jede Jobklasse kann fliegen. Fluggeräte können bei der [Station] in jeder Stadt gekauft werden.
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Wenn du gestorben bist, lass dich durch ""Lodestar"" wieder beleben, wenn du in die Stadt gehen willst. Wenn du vor Ort wiederbelebt werden willst, nutze eine ""Scroll of Resurrection"" oder lass dich durch einen ""Resurrection"" Skill wiederbeleben."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Wenn du gestorben bist, kannst du dich entweder am Lodestar in der Stadt wiederbeleben oder du verwendest die Scroll of Resurrection um an Ort und Stelle wiederbelebt zu werden. Ebenso kannst du auch mit dem Skill Resurrection wiederbelebt werden."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Wenn du Stufe 15 erreicht hast, schließe so schnell wie möglich die Quest für den Klassenwechsel ab. Wenn du das nicht tust, wirst du keine weiteren EXP mehr erhalten können."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Drücke ESC um das Ziel abzuwählen.
CLIENT_TIP_INC_000008,Troupe means Party.,Drücke ESC um das Ziel abzuwählen.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.",Party ist ein Zusammenschluss aus Spielern.
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Du musst zuerst Clean Hit und dann Brandish in die Komboleiste ziegen.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Halte die linke ALT-Taste gedrückt und wähle einen Charakter aus. Klicke anschließend auf ""Folgen"", um dem Charakter zu folgen. Drücke die Leertaste, während du ""Z"" gedrückt hältst, wenn du fliegst."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Ein Klick auf das Ziel bei gedrückter 'ALT'-Taste aktiviert das Menü für Gilde, Messenger, Folgen usw.."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,"Wähle das Ziel an während du ALT gedrückt hältst. Nun siehst du die Charakteroption wie Gildeneinladung, Freundesanfrage, Folgen usw."
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",Ein Gamemaster ist grundsätzlich an dem [GM] hinter seinem Namen erkennbar. Die aktuelle GM Liste findest du auf unserem Discord Channel : $DISCORD$
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,"Drücke X um gehen zu können. Drücke X erneut, damit du wieder laufen kannst."
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Das Teilen, Weitergeben oder Verkaufen eines Kontos verstößt gegen unsere Richtlinien. Jeder Verstoß kann zu einer dauerhaften Sperre der entsprechenden Konten führen."
