Key,English,Spanish
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Para mover la posición de la cámara, mueve el ratón o usa las teclas de movimiento mientras haces clic derecho en el ratón (en la versión nueva) o clic en la rueda de ratón (en la versión antigua)."
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Al presionar la barra espaciadora, el jugador puede saltar en el terreno, y también, puede acelerar y frenar en modo vuelo."
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Cualquier personaje puede volar una vez que alcanza el nivel 20. Los objetos de vuelo se pueden comprar en el NPC [Estación] de cada ciudad.
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Si necesitas HP, puedes tomar un descanso con la opción de sentarte a través del menú de gestos. Tomará tiempo pero ahorraras dinero."
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Cuando mueres, puedes revivir en la ciudad más cercana usando la opción ""Estrella de Vida"". Si quieres revivir en el mismo lugar donde moriste, necesitas un ""Pergamino de Resurrección"" o que alguien use la Habilidad ""Resurrección"" en ti."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Los objetos que restauran HP, MP y FP, como la comida, los refrescos y las bebidas vitales, restauran una cierta cantidad. Comprueba la cantidad que restauran para obtener la máxima eficiencia."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Cuando alcances el Nivel 15, ve a completar tu cambio de Clase lo antes posible. Si no lo haces, no podrás seguir ganando Exp."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Pulsa ESC para deseleccionar a tu objetivo.
CLIENT_TIP_INC_000008,Troupe means Party.,Una Party es lo mismo que un Grupo.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Para usar una habilidad, abre la ventana de habilidades (Tecla de acceso directo 'K') y arrastra el icono de la habilidad hasta la parte inferior de la pantalla (F1~F10). Para usar una habilidad combinada, arrastre un ícono de habilidad a la barra de combo (parte inferior derecha de la pantalla), selecciona a un objetivo y pulsa la Tecla 'C' para usar la habilidad combinada."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Tienes que poner la habilidad Clean Hit primero para poder usar la habilidad Flurry en la BARRA DE COMBO.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Para seguir a un personaje, ALT + Clic sobre él y selecciona la opción ""Seguir"". Para seguir a un personaje mientras vuelas, selecciónalo y luego presiona ""Z""."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Pulsar 'ALT' + clic en otro jugador activa un menú con opciones como Seguir, Invitar a Party, Comerciar, etc.."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,"Pulsa ""X"" para caminar y pulsa ""X"" otra vez para correr."
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.","Al hacer doble clic en el monstruo o en la opción de ataque automático, atacarás automáticamente."
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Comprar o vender Penyas online está en contra de nuestras políticas. Comprar Penyas online pone tu cuenta en riesgo y puedes ser castigado.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Compartir, dar o vender una cuenta va en contra de nuestras políticas. Cualquier incumplimiento puede resultar en la suspensión permanente de las cuentas relacionadas."
